RNK,"PLAYER, TEAM POS",C/A,YDS,TD,INT,RUSH,REC,PTS
75,"Marshawn Lynch, Oak RB",0/0,229.4,0.9,0,220.5,29.3,198.7
76,"Chris Hogan, NE WR",0/0,910.1,6.9,0,5.2,60.7,197.6
77,"Michael Crabtree, Bal WR",0/0,828.7,5.9,0,0,77.1,195.7
78,"Marvin Jones Jr., Det WR  Q",0/0,935.3,7.1,0,0,58.6,194.5
79,"Greg Olsen, Car TE",0/0,914,5.7,0,0,68.8,194.4
80,"Derrius Guice, Wsh RB",0/0,208.5,0.7,0,235.8,24.8,192.8
81,"Delanie Walker, Ten TE",0/0,819.7,6.6,0,0,70.8,192.4
82,"Robert Woods, LAR WR",0/0,890.3,4.9,0,2.1,70.6,190.5
83,"Randall Cobb, GB WR",0/0,783.2,5.2,0,11.4,71.8,189.8
84,"Rashaad Penny, Sea RB",0/0,247,1.1,0,222.5,29.8,189.4
85,"Alex Collins, Bal RB",0/0,234.6,0.7,0,231.2,29.9,188.9
86,"Sammy Watkins, KC WR",0/0,952,5.4,0,0,60.5,188.1
87,"Sony Michel, NE RB",0/0,219.1,0.9,0,207.5,26.9,187.9
88,"Royce Freeman, Den RB",0/0,247.3,0.7,0,222.9,30.8,187.7
89,"Kelvin Benjamin, Buf WR",0/0,936.9,4.5,0,0,67,187.4
90,"Brandin Cooks, LAR WR",0/0,901.2,5,0,8.2,60.7,186.9
91,"Devin Funchess, Car WR",0/0,884.4,6.2,0,0,60.9,186.6
92,"Derrick Henry, Ten RB",0/0,213.3,0.8,0,222.7,23.8,186.2
93,"Cooper Kupp, LAR WR",0/0,847.3,5.8,0,0,67,186.2
94,"Ronald Jones II, TB RB",0/0,278.9,1,0,227.5,34.6,185.5
95,"Corey Davis, Ten WR",0/0,847.1,5.5,0,0,68.1,185.2
96,"Jamison Crowder, Wsh WR",0/0,825.9,3.9,0,7.5,69.6,182.7
97,"Evan Engram, NYG TE",0/0,758.3,6.1,0,0,69.6,182.2
98,"Kenny Stills, Mia WR",0/0,902.3,4.8,0,0,60.3,179.1
99,"DeVante Parker, Mia WR",0/0,838.4,5,0,0,65.3,178.9
100,"Sterling Shepard, NYG WR",0/0,781.4,4.9,0,4.2,68.1,178.8
101,"Jordan Reed, Wsh TE  Q",0/0,733.7,5.4,0,0,72.2,177.7
102,"Marqise Lee, Jax WR  Q",0/0,820.9,4.6,0,4.6,63.3,176.7
103,"Mark Ingram, NO RB  SSPD",0/0,260.8,1.4,0,152.6,35.5,175.2
104,"Robby Anderson, NYJ WR",0/0,863.4,4.1,0,3.7,61.2,174.8
105,"Will Fuller V, Hou WR",0/0,786.1,5.9,0,4.5,55.5,174.5
106,"Jordy Nelson, Oak WR",0/0,765.5,5.2,0,0,65,172.9
107,"Marquise Goodwin, SF WR",0/0,855.9,5.2,0,3.9,52.6,172.4
108,"Rishard Matthews, Ten WR  Q",0/0,840.6,4.8,0,0,59.4,172.4
109,"Dion Lewis, Ten RB",0/0,372.2,1.6,0,132,46.1,172
110,"Mohamed Sanu, Atl WR",0/0,739.6,4.9,0,4.1,64.5,170.9
111,"DeSean Jackson, TB WR",0/0,867.1,4.2,0,3.9,53.7,168.7
112,"Jack Doyle, Ind TE",0/0,628.4,6,0,0,69.2,168.1
113,"Duke Johnson Jr., Cle RB",0/0,544.5,1.6,0,75.7,59.8,167.6
114,"Tarik Cohen, Chi RB",0/0,471.4,1.9,0,76.1,59.6,167
115,"Nelson Agholor, Phi WR",0/0,709.6,4.9,0,8.4,60.1,166.7
116,"Jay Ajayi, Phi RB",0/0,164.5,0.7,0,219.6,21.4,166.6
117,"Marlon Mack, Ind RB",0/0,269.7,1.2,0,173.7,31.4,166.2
118,"Chris Thompson, Wsh RB  Q",0/0,469.2,1.8,0,89.8,54.2,165.1
119,"Kyle Rudolph, Min TE  Q",0/0,611.7,7.2,0,0,60.2,164.7
120,"Josh Doctson, Wsh WR",0/0,759.6,6,0,0,52.9,164.5
121,"Tevin Coleman, Atl RB",0/0,342.2,1.6,0,142.1,35.7,163.1
122,"Kenny Golladay, Det WR",0/0,781.9,5.1,0,0,52.1,160.9
123,"Allen Hurns, Dal WR",0/0,759.9,4.4,0,0,56.9,159.2
124,"Julian Edelman, NE WR  SSPD",0/0,705,4.2,0,3.7,59.3,158.7
125,"Jimmy Graham, GB TE",0/0,613.2,7.2,0,0,52.6,157.3
126,"Lamar Miller, Hou RB",0/0,219.6,1.1,0,186.1,28.4,155
127,"Tyler Lockett, Sea WR",0/0,654,3.9,0,11.7,47.5,150.4
128,"Greg Zuerlein, LAR K  Q",0/0,0,0,0,0,0,147.3
129,"Kerryon Johnson, Det RB",0/0,239.8,0.9,0,159.3,29.6,146.6
130,"Isaiah Crowell, NYJ RB",0/0,223.4,0.7,0,160,28.7,146
131,"Stephen Gostkowski, NE K",0/0,0,0,0,0,0,145.6
132,"Paul Richardson, Wsh WR",0/0,730.9,3.4,0,0,51.8,145.3
133,"Cameron Meredith, NO WR",0/0,679.6,4.1,0,0,52.6,144.7
134,"Jordan Matthews, NE WR",0/0,629.7,4.5,0,0,55,144.6
135,"Charles Clay, Buf TE",0/0,636.3,3.3,0,0,61.4,144.5
136,"Martavis Bryant, Oak WR",0/0,658.3,4.3,0,3.9,48.6,143.5
137,"Chris Boswell, Pit K",0/0,0,0,0,0,0,143.4
138,"Devontae Booker, Den RB",0/0,374,1.3,0,99.1,44.6,141.1
139,"Matt Prater, Det K",0/0,0,0,0,0,0,139.4
140,"James White, NE RB",0/0,407.5,2.5,0,53,49.7,139.3
141,"Justin Tucker, Bal K",0/0,0,0,0,0,0,138
142,"Albert Wilson, Mia WR",0/0,626.7,3.4,0,1.8,53.9,137.9
143,"Anthony Miller, Chi WR",0/0,658.7,3.4,0,0,51.5,137.5
144,"Terrance Williams, Dal WR  Q",0/0,666.3,3.4,0,2.1,48.6,137.1
145,"Robbie Gould, SF K",0/0,0,0,0,0,0,135.4
146,"Matt Bryant, Atl K",0/0,0,0,0,0,0,135
147,"Ty Montgomery, GB RB",0/0,326.9,1.9,0,82.4,40.1,134.9
148,"Harrison Butker, KC K",0/0,0,0,0,0,0,134.6
149,"Theo Riddick, Det RB",0/0,426,2.5,0,46,52.7,134.4
150,"Jake Elliott, Phi K",0/0,0,0,0,0,0,133.3
151,"Jamaal Williams, GB RB",0/0,224.7,1.4,0,134.1,25,132.4
152,"Graham Gano, Car K",0/0,0,0,0,0,0,131.4
153,"Adam Vinatieri, Ind K",0/0,0,0,0,0,0,131.4
154,"Calvin Ridley, Atl WR  Q",0/0,610,3.6,0,0,48.7,131
155,"Wil Lutz, NO K",0/0,0,0,0,0,0,130.8
156,"Trey Burton, Chi TE",0/0,559,4,0,0,51,130.4
157,"AJ McCarron, Buf QB",207/340.1,0,0,7,27.6,0,129.9
158,"Willie Snead, Bal WR",0/0,633.4,2.2,0,0,52.7,129.1
159,"Bilal Powell, NYJ RB",0/0,244.2,0.8,0,109.2,33.1,127.5
160,"Brandon LaFell, Cin WR",0/0,583.9,3.5,0,0,48,127.5
161,"Daniel Carlson, Min K",0/0,0,0,0,0,0,127.2
162,"Ted Ginn Jr., NO WR",0/0,608.8,3,0,8.4,40.7,127.1
163,"David Njoku, Cle TE",0/0,514.9,5.2,0,0,44.4,127
164,"Josh McCown, NYJ QB",185.6/302.3,0,0,7.8,22.8,0,126.9
165,"Cameron Brate, TB TE",0/0,538.1,4.5,0,0,45.7,126.4
166,"Jared Cook, Oak TE",0/0,568,3.7,0,0,47.1,126
167,"Mike Wallace, Phi WR",0/0,582.8,4,0,0,43,125.7
168,"Christian Kirk, Ari WR",0/0,593.9,2.9,0,0,48.6,125.7
169,"Ryan Succop, Ten K",0/0,0,0,0,0,0,125.4
170,"George Kittle, SF TE",0/0,537.1,4,0,0,46.9,124.6
171,"Giovani Bernard, Cin RB",0/0,346.7,1,0,81.8,40.8,124.4
172,"Zay Jones*, Buf WR  O",0/0,595.5,3,0,0,46.1,123.1
173,Jaguars D/ST D/ST,0/0,0,0,0,0,0,123
174,"Mason Crosby, GB K",0/0,0,0,0,0,0,122.9
175,"Chandler Catanzaro, TB K",0/0,0,0,0,0,0,122.5
176,"Dustin Hopkins, Wsh K",0/0,0,0,0,0,0,122.4
177,"Josh Lambo, Jax K",0/0,0,0,0,0,0,122.4
178,"Sam Bradford, Ari QB",195.4/302.1,0,0,4.5,14.4,0,122.3
179,"Rex Burkhead, NE RB",0/0,206.6,1.1,0,110.4,23.8,122.2
180,"Eric Ebron, Ind TE",0/0,516.8,4,0,0,46.2,121.9
181,"Vance McDonald, Pit TE",0/0,519.6,4.5,0,0,43.2,121.9
182,"Tyrell Williams, LAC WR",0/0,612.2,3.7,0,0,38.6,121.7
