PLAYER,POSITION,TEAM,PASS YDS,PASS TD,INT,RUSH,RUSH YDS,RUSH TD,REC,REC YDS,REC TD,PROJ PTS,ADP,2QB RANK
Donte Moncrief,WR,Jax,0,0,0,0,0,0,42.3,533.3,3.7,118,,
Cody Parkey,K,Chi,0,0,0,0,0,0,0,0,0,116.8,,
Stephen Hauschka,K,Buf,0,0,0,0,0,0,0,0,0,116.4,,
Mike Wallace,WR,Phi,0,0,0,0,0,0,39.7,538.3,3.7,116.2,,
Zane Gonzalez,K,Cle,0,0,0,0,0,0,0,0,0,116.1,,
Quincy Enunwa,WR,NYJ,0,0,0,0,0,0,43.8,573.7,2.4,115.7,,
Aldrick Rosas,K,NYG,0,0,0,0,0,0,0,0,0,115.7,,
James Washington,WR,Pit,0,0,0,0,0,0,38.9,539.7,3.8,115.4,170.0,
Randy Bullock,K,Cin,0,0,0,0,0,0,0,0,0,115.1,,
Ricky Seals-Jones,TE,Ari,0,0,0,0,0,0,42.3,549.2,3,115,,
Brandon McManus,K,Den,0,0,0,0,0,0,0,0,0,114,,
Bilal Powell,RB,NYJ,0,0,0,100.4,436.4,2.8,27.8,206.9,0.7,113,170.0,
Ka'imi Fairbairn,K,Hou,0,0,0,0,0,0,0,0,0,112.9,,
Phil Dawson,K,Ari,0,0,0,0,0,0,0,0,0,112.2,,
Albert Wilson,WR,Mia,0,0,0,3.7,22.7,0.1,42.9,500.8,2.7,112.1,,
Javorius Allen,RB,Bal,0,0,0,66.4,265.4,1.8,39.3,284.8,1.1,111.4,,
Terrance Williams,WR,Dal,0,0,0,2.1,13.2,0.1,38.8,535.9,2.8,110.7,,
Keelan Cole,WR,Jax,0,0,0,0,0,0,38.2,568.2,2.5,110.1,,
Jason Sanders,K,Mia,0,0,0,0,0,0,0,0,0,108.8,,
Cairo Santos,K,NYJ,0,0,0,0,0,0,0,0,0,108.1,,
Christian Kirk,WR,Ari,0,0,0,0,0,0,41.3,509.2,2.5,107.4,,
Travis Benjamin,WR,LAC,0,0,0,12.4,82.9,0.2,30.2,472.1,2.8,106.6,,
Eric Decker,WR,NE,0,0,0,0,0,0,36.3,453.1,4,105.4,135.8,
O.J. Howard,TE,TB,0,0,0,0,0,0,36.7,476.1,3.5,105,135.5,
Jermaine Kearse,WR,NYJ,0,0,0,0,0,0,39.1,501.9,2.6,104.8,,
Brandon Marshall,WR,Sea,0,0,0,0,0,0,34.1,442,4.1,102.9,,
Corey Coleman,WR,Buf,0,0,0,0,0,0,37.6,505.2,2.4,102.2,,
Kenneth Dixon,RB,Bal,0,0,0,80.8,336.8,2,30.4,217.2,0.8,101.8,,
Hayden Hurst,TE,Bal,0,0,0,0,0,0,40.4,427.7,2.7,99.1,,
Austin Ekeler,RB,LAC,0,0,0,82.4,359.4,1.6,25.5,227.2,1,99.1,,
Rob Kelley,RB,Wsh,0,0,0,127.5,500.2,4.1,12.4,94.1,0.4,98.5,136.9,
T.J. Yeldon,RB,Jax,0,0,0,74,302.8,2.2,28,219.4,0.6,97.2,,
Taywan Taylor,WR,Ten,0,0,0,8.2,51.2,0.2,32.7,439.1,2.4,97.1,,
Tyler Boyd,WR,Cin,0,0,0,0,0,0,37.9,433.3,2.3,94.8,,
Darren Sproles,RB,Phi,0,0,0,54.9,247.7,1.4,28.9,235.1,0.8,94.2,,
Terrelle Pryor,WR,NYJ,0,0,0,2,12,0.1,33.2,447.3,2.4,94.1,,
Adam Humphries,WR,TB,0,0,0,1.9,12,0,39.7,416.4,1.7,93.9,,
Ryan Switzer,WR,Oak,0,0,0,0,0,0,34.2,412.8,2.4,93.3,,
Ryan Griffin,TE,Hou,0,0,0,0,0,0,36,397.4,2.9,93.3,,
Taylor Gabriel,WR,Chi,0,0,0,3.6,21.9,0.1,34.2,445,1.8,92.3,,
Elijah McGuire,RB,NYJ,0,0,0,69.3,275.4,1.8,25.3,219.4,0.8,90.4,,
Trent Taylor,WR,SF,0,0,0,0,0,0,34.3,401.5,2,86.4,,
Kyle Juszczyk,RB,SF,0,0,0,7.9,25.9,0.6,35.6,310.2,1.7,82.7,,
Virgil Green,TE,LAC,0,0,0,0,0,0,30.5,327.3,3.1,81.7,,
Luke Willson,TE,Det,0,0,0,0,0,0,30.5,350,2.5,80.4,,
Jake Butt,TE,Den,0,0,0,0,0,0,31.1,325,2.4,77.7,,
